epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,29794.8,1.49415,1.28656,1.54919,0.72221,0.61608,0.69072,0.37719,1.50145,1.14826,1.51146,0.00695575,0.00695575,0.00695575
125,30035.3,1.48087,1.27481,1.53179,0.72025,0.61565,0.69026,0.37719,1.50157,1.14805,1.51156,0.006931,0.006931,0.006931
126,30275.8,1.47985,1.27945,1.54144,0.71955,0.61694,0.69065,0.37771,1.5021,1.14735,1.51184,0.00690625,0.00690625,0.00690625
127,30516.5,1.4837,1.28208,1.53624,0.7214,0.61694,0.69157,0.37797,1.50257,1.14629,1.51193,0.0068815,0.0068815,0.0068815
128,30757.1,1.48766,1.28095,1.53796,0.71968,0.61866,0.692,0.37783,1.50223,1.14581,1.5118,0.00685675,0.00685675,0.00685675
129,30997.4,1.48179,1.27823,1.53006,0.72074,0.62025,0.69168,0.37786,1.50227,1.14467,1.51149,0.006832,0.006832,0.006832
130,31237.8,1.47925,1.26365,1.53636,0.71952,0.61982,0.69178,0.37813,1.50171,1.14453,1.51143,0.00680725,0.00680725,0.00680725
131,31478.4,1.47529,1.27581,1.53663,0.7214,0.61952,0.69251,0.37841,1.50158,1.14361,1.51132,0.0067825,0.0067825,0.0067825
132,31718.8,1.47026,1.26643,1.53537,0.72304,0.62067,0.69312,0.37848,1.50149,1.14293,1.51122,0.00675775,0.00675775,0.00675775
133,31959.1,1.47524,1.26441,1.53208,0.72554,0.61995,0.6927,0.37851,1.50128,1.14367,1.51119,0.006733,0.006733,0.006733
134,32199.2,1.46474,1.26036,1.52325,0.72618,0.62081,0.69347,0.37842,1.50141,1.14279,1.51141,0.00670825,0.00670825,0.00670825
135,32439.3,1.47349,1.25399,1.52668,0.72545,0.62081,0.69383,0.37862,1.50165,1.14142,1.51145,0.0066835,0.0066835,0.0066835
136,32679.6,1.47072,1.26676,1.53056,0.72112,0.62255,0.69435,0.37857,1.50151,1.14073,1.51116,0.00665875,0.00665875,0.00665875
137,32920,1.47086,1.24901,1.52452,0.72268,0.62296,0.69467,0.37905,1.50121,1.13994,1.51096,0.006634,0.006634,0.006634
138,33160.4,1.46886,1.25602,1.52528,0.72462,0.62339,0.69488,0.37949,1.50113,1.13895,1.51068,0.00660925,0.00660925,0.00660925
139,33401,1.46492,1.25199,1.51986,0.72506,0.6221,0.69528,0.37987,1.50081,1.13857,1.51039,0.0065845,0.0065845,0.0065845
140,33641.5,1.45354,1.23987,1.51995,0.72682,0.62167,0.69586,0.37997,1.50027,1.13809,1.51008,0.00655975,0.00655975,0.00655975
141,33882.1,1.46918,1.25341,1.51958,0.72748,0.62167,0.6962,0.38044,1.49982,1.13843,1.50922,0.006535,0.006535,0.006535
