epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,22850,1.476,1.21021,1.47619,0.71267,0.62769,0.69038,0.37959,1.49777,1.06985,1.44986,0.0078715,0.0078715,0.0078715
88,23113.1,1.47482,1.20217,1.47845,0.71517,0.62683,0.69066,0.37917,1.49811,1.06883,1.45021,0.00784675,0.00784675,0.00784675
89,23376.2,1.46984,1.19822,1.47314,0.71691,0.62712,0.69083,0.37964,1.49827,1.06781,1.45035,0.007822,0.007822,0.007822
90,23639.5,1.46773,1.1933,1.4657,0.71419,0.62953,0.69128,0.37981,1.49838,1.06744,1.45035,0.00779725,0.00779725,0.00779725
91,23902.7,1.46815,1.18456,1.47048,0.71556,0.63027,0.69153,0.37926,1.49821,1.06676,1.44999,0.0077725,0.0077725,0.0077725
92,24165.4,1.47501,1.19345,1.47531,0.71593,0.63199,0.69077,0.37942,1.49869,1.06535,1.45007,0.00774775,0.00774775,0.00774775
93,24427.8,1.4705,1.19502,1.46716,0.71854,0.62855,0.69199,0.38007,1.49861,1.06503,1.45003,0.007723,0.007723,0.007723
94,24691.5,1.46015,1.18492,1.46881,0.72192,0.62837,0.69231,0.38116,1.49875,1.06452,1.4503,0.00769825,0.00769825,0.00769825
95,24954.4,1.46975,1.18633,1.4662,0.71928,0.62855,0.6919,0.38061,1.4989,1.06359,1.44999,0.0076735,0.0076735,0.0076735
96,25217.8,1.46411,1.18036,1.47327,0.71971,0.62923,0.69197,0.38068,1.49946,1.06297,1.45039,0.00764875,0.00764875,0.00764875
97,25480.7,1.46276,1.17735,1.46702,0.71838,0.63027,0.693,0.38096,1.49879,1.06289,1.45015,0.007624,0.007624,0.007624
98,25743.8,1.45944,1.17877,1.469,0.71724,0.6307,0.69263,0.38141,1.49875,1.06214,1.45009,0.00759925,0.00759925,0.00759925
99,26007,1.4616,1.1709,1.46897,0.71842,0.62855,0.69395,0.38168,1.4989,1.06156,1.45026,0.0075745,0.0075745,0.0075745
100,26270.2,1.46749,1.17229,1.47154,0.71925,0.62898,0.69449,0.38168,1.49857,1.06172,1.45001,0.00754975,0.00754975,0.00754975
101,26533.7,1.46702,1.17372,1.46723,0.71854,0.62812,0.69452,0.38162,1.49799,1.06115,1.44965,0.007525,0.007525,0.007525
102,26796,1.45703,1.17446,1.46694,0.72026,0.6264,0.69408,0.38156,1.4976,1.06069,1.4491,0.00750025,0.00750025,0.00750025
103,27058.3,1.45786,1.17033,1.46924,0.72125,0.6285,0.69546,0.38136,1.497,1.06039,1.44898,0.0074755,0.0074755,0.0074755
104,27320.6,1.45445,1.15904,1.46651,0.7244,0.62812,0.69536,0.38206,1.49762,1.06031,1.44896,0.00745075,0.00745075,0.00745075
105,27583,1.45495,1.17044,1.46158,0.72556,0.6307,0.69651,0.38217,1.49626,1.06002,1.44834,0.007426,0.007426,0.007426
106,27845.6,1.46271,1.16476,1.46338,0.7308,0.62908,0.69617,0.38159,1.49652,1.05929,1.44841,0.00740125,0.00740125,0.00740125
107,28107.8,1.45233,1.16352,1.46423,0.72671,0.62648,0.69531,0.38167,1.49616,1.05891,1.44832,0.0073765,0.0073765,0.0073765
